Date,Warehouse,Category,Subcategory,Agent,Handling_Time(min),Satisfaction,Escalated
2024-03-07,美國,訂單,商品無法由特定倉庫寄送，須轉往其他倉庫,Hank,22,3.4,No
2024-03-07,中國,其他,節日活動相關,Jack,3,3.1,No
2024-03-07,中國,訂單,已付款訂單未成立,Grace,12,3.2,No
2024-03-07,德國,商品,某商品運回來是否違法或需要付關費,David,20,4.3,Yes
2024-03-07,日本,商品,某商品能否倉儲自取或協助寄往其他地方,Bob,5,5.0,No
2024-03-07,美國,訂單,商品收到與訂單內容不符,Alice,9,3.0,No
2024-03-08,日本,訂單,商品無法由特定倉庫寄送，須轉往其他倉庫,Grace,18,3.3,No
2024-03-08,日本,倉儲,商品是否重新加工完成,Alice,25,3.5,No
2024-03-08,日本,訂單,已付款訂單未成立,Bob,29,4.5,No
2024-03-08,美國,訂單,商品毀損相關,Grace,15,3.9,No
2024-03-08,中國,其他,抱怨相關,Ivy,15,2.9,No
2024-03-08,中國,商品,某商品能不能買/運回台灣,Ivy,6,4.4,No
2024-03-08,德國,訂單,商品毀損相關,Frank,12,3.5,No
2024-03-08,德國,倉儲,商品滯留過久以致倉庫丟失相關,Bob,24,3.8,No
2024-03-08,台灣,訂單,已付款訂單未成立,Emma,10,3.8,No
2024-03-08,美國,訂單,商品毀損相關,Frank,12,2.2,No
2024-03-09,日本,訂單,已付款訂單未成立,Carol,29,4.2,No
2024-03-09,日本,訂單,商品無法由特定倉庫寄送，須轉往其他倉庫,Carol,13,2.8,No
2024-03-09,美國,訂單,商品未到，確定訂單狀態,Emma,13,3.8,No
2024-03-09,德國,商品,某商品能不能買/運回台灣,Bob,13,4.2,No
2024-03-09,台灣,倉儲,訂購商品是否有送到某倉庫,David,31,4.5,No
2024-03-09,台灣,訂單,商品轉其他物流寄送,Grace,25,3.2,No
2024-03-09,日本,倉儲,商品到台灣是否能放在倉庫及天數相關,David,17,3.3,Yes
2024-03-09,台灣,倉儲,商品到台灣是否能放在倉庫及天數相關,Jack,16,3.9,Yes
2024-03-09,台灣,倉儲,商品滯留過久以致倉庫丟失相關,David,31,4.8,No
2024-03-09,台灣,訂單,商品無法由特定倉庫寄送，須轉往其他倉庫,Bob,31,3.4,No
2024-03-09,德國,商品,某商品能不能協助代購,Ivy,9,3.6,No
2024-03-09,德國,訂單,商品毀損相關,Bob,27,4.3,Yes
2024-03-09,德國,訂單,商品購買加值服務需求,Ivy,13,4.2,No
2024-03-10,德國,訂單,商品無法由特定倉庫寄送，須轉往其他倉庫,Grace,23,3.1,No
2024-03-10,中國,訂單,商品未到，確定訂單狀態,Emma,21,2.8,No
2024-03-10,美國,訂單,商品毀損相關,Bob,7,4.1,No
2024-03-10,日本,倉儲,商品滯留過久是否有要收費,Ivy,10,3.2,No
2024-03-10,美國,訂單,商品收到與訂單內容不符,Grace,14,3.5,Yes
2024-03-10,日本,倉儲,商品到台灣是否能放在倉庫及天數相關,David,20,3.7,No
2024-03-10,德國,倉儲,商品是否重新加工完成,David,37,4.1,No
2024-03-10,中國,其他,節日活動相關,Alice,18,4.2,No
2024-03-10,中國,商品,某商品能不能買/運回台灣,Frank,14,3.7,No
2024-03-10,台灣,訂單,商品未到，確定訂單狀態,Carol,5,2.8,No
2024-03-10,德國,訂單,已付款訂單未成立,Emma,21,2.6,No
2024-03-10,中國,訂單,商品毀損相關,Carol,15,2.7,Yes
2024-03-11,中國,商品,某商品能不能協助代購,Jack,11,3.8,No
2024-03-11,台灣,倉儲,商品滯留過久是否有要收費,Emma,16,3.5,No
2024-03-11,德國,商品,某商品能不能買/運回台灣,Alice,10,4.2,No
2024-03-11,德國,商品,某商品能不能買/運回台灣,Carol,8,4.2,No
2024-03-11,美國,訂單,商品毀損相關,Hank,20,4.4,No
2024-03-11,中國,其他,惡劣天氣相關,Ivy,9,3.7,No
2024-03-11,中國,倉儲,商品是否重新加工完成,David,8,3.3,No
2024-03-11,中國,訂單,商品收到與訂單內容不符,Jack,28,3.9,No
2024-03-11,台灣,商品,某商品能不能買/運回台灣,Frank,11,3.6,Yes
2024-03-11,德國,訂單,商品毀損相關,Alice,26,4.3,No
2024-03-11,台灣,倉儲,商品到台灣是否能放在倉庫及天數相關,Bob,13,3.3,No
2024-03-11,日本,訂單,商品無法由特定倉庫寄送，須轉往其他倉庫,David,28,4.8,No
2024-03-11,德國,訂單,商品未到，確定訂單狀態,Bob,16,3.7,No
2024-03-11,台灣,商品,某商品運回來是否違法或需要付關費,Alice,8,3.9,No
2024-03-11,美國,商品,某商品能不能買/運回台灣,Bob,10,4.8,No
2024-03-11,中國,訂單,商品轉其他物流寄送,Frank,29,3.9,No
2024-03-12,日本,倉儲,商品滯留過久是否有要收費,Ivy,25,4.0,No
2024-03-12,德國,其他,節日活動相關,David,4,3.6,Yes
2024-03-12,德國,訂單,商品轉其他物流寄送,David,12,5.0,No
2024-03-12,中國,倉儲,商品滯留過久是否有要收費,Bob,1,3.7,No
2024-03-12,美國,商品,某商品能不能協助代購,Grace,18,4.1,No
2024-03-12,美國,商品,某商品能否倉儲自取或協助寄往其他地方,Frank,10,4.3,No
2024-03-12,台灣,倉儲,商品到台灣是否能放在倉庫及天數相關,Hank,27,4.2,No
2024-03-12,台灣,商品,某商品運回來是否違法或需要付關費,Bob,12,5.0,No
2024-03-12,德國,訂單,商品毀損相關,Hank,25,4.6,No
2024-03-12,日本,商品,某商品運回來是否違法或需要付關費,Ivy,13,4.7,No
2024-03-12,中國,訂單,商品未到，確定訂單狀態,Grace,20,3.7,No
2024-03-13,德國,商品,某商品能不能協助代購,Grace,6,3.5,Yes
2024-03-13,美國,商品,某商品運回來是否違法或需要付關費,Ivy,11,4.5,No
2024-03-13,美國,倉儲,商品到台灣是否能放在倉庫及天數相關,Bob,29,4.2,No
2024-03-13,中國,訂單,商品收到與訂單內容不符,Bob,20,3.1,No
2024-03-13,中國,訂單,商品未到，確定訂單狀態,Jack,13,3.4,No
2024-03-13,台灣,訂單,商品購買加值服務需求,Emma,20,4.8,No
2024-03-13,日本,倉儲,商品滯留過久是否有要收費,Hank,23,3.2,No
2024-03-13,美國,其他,惡劣天氣相關,Frank,10,3.8,No
2024-03-13,台灣,訂單,商品毀損相關,Emma,23,4.0,No
2024-03-13,美國,訂單,商品毀損相關,Carol,29,3.8,Yes
2024-03-13,台灣,商品,某商品能否倉儲自取或協助寄往其他地方,Carol,10,4.1,No
2024-03-13,台灣,訂單,商品購買加值服務需求,Bob,23,4.6,No
2024-03-13,中國,訂單,商品毀損相關,David,20,3.1,Yes
2024-03-13,日本,商品,某商品能不能協助代購,Ivy,9,4.1,No
2024-03-13,台灣,訂單,商品毀損相關,Alice,2,3.0,No
2024-03-13,美國,倉儲,訂購商品是否有送到某倉庫,Frank,18,3.4,No
2024-03-13,德國,倉儲,商品滯留過久是否有要收費,Grace,3,4.0,No
2024-03-13,日本,倉儲,商品是否重新加工完成,Hank,31,4.8,No
2024-03-13,台灣,訂單,商品收到與訂單內容不符,David,12,4.3,Yes
2024-03-14,中國,倉儲,商品到台灣是否能放在倉庫及天數相關,Alice,9,3.8,No
2024-03-14,中國,訂單,商品未到，確定訂單狀態,Emma,7,3.1,No
2024-03-14,美國,倉儲,商品到台灣是否能放在倉庫及天數相關,Carol,23,3.7,No
2024-03-14,美國,商品,某商品能不能買/運回台灣,Bob,5,4.3,Yes
2024-03-14,德國,倉儲,商品滯留過久是否有要收費,Frank,19,4.2,No
2024-03-14,中國,倉儲,商品到台灣是否能放在倉庫及天數相關,Frank,17,2.9,Yes
2024-03-14,台灣,商品,某商品能不能協助代購,Carol,20,4.3,No
2024-03-14,台灣,倉儲,商品滯留過久是否有要收費,Bob,19,4.1,No
2024-03-14,中國,訂單,商品毀損相關,Grace,18,3.5,No
2024-03-14,中國,訂單,商品轉其他物流寄送,Jack,27,3.1,Yes
2024-03-14,德國,倉儲,商品到台灣是否能放在倉庫及天數相關,Bob,7,4.1,No
2024-03-14,美國,訂單,商品未到，確定訂單狀態,Jack,31,2.6,Yes
2024-03-15,日本,倉儲,商品到台灣是否能放在倉庫及天數相關,Frank,23,3.3,Yes
2024-03-15,日本,倉儲,商品到台灣是否能放在倉庫及天數相關,Grace,23,2.4,No
2024-03-15,中國,倉儲,訂購商品是否有送到某倉庫,Alice,6,4.0,No
2024-03-15,日本,訂單,商品無法由特定倉庫寄送，須轉往其他倉庫,Alice,31,3.2,No
2024-03-15,台灣,倉儲,商品到台灣是否能放在倉庫及天數相關,Alice,25,3.4,Yes
2024-03-15,台灣,訂單,商品未到，確定訂單狀態,Frank,17,4.5,No
2024-03-15,美國,訂單,商品購買加值服務需求,Emma,21,3.0,No
2024-03-15,日本,倉儲,商品滯留過久以致倉庫丟失相關,Emma,32,4.1,No
2024-03-15,台灣,倉儲,商品滯留過久是否有要收費,Carol,24,3.4,No
2024-03-15,台灣,訂單,商品轉其他物流寄送,Grace,27,3.4,No
2024-03-15,中國,倉儲,商品滯留過久以致倉庫丟失相關,Hank,12,4.5,No
2024-03-15,台灣,商品,某商品能不能買/運回台灣,Hank,6,4.6,No
2024-03-16,中國,倉儲,訂購商品是否有送到某倉庫,Grace,27,4.0,No
2024-03-16,德國,商品,某商品能不能協助代購,Ivy,15,4.4,No
2024-03-16,中國,商品,某商品能不能協助代購,Ivy,11,4.1,No
2024-03-16,美國,其他,節日活動相關,Jack,10,4.9,No
2024-03-16,美國,其他,節日活動相關,Hank,5,4.7,No
2024-03-16,日本,訂單,已付款訂單未成立,Ivy,22,2.7,Yes
2024-03-16,中國,倉儲,商品滯留過久以致倉庫丟失相關,Emma,8,3.5,No
2024-03-16,德國,商品,某商品能不能買/運回台灣,Alice,10,4.1,No
2024-03-16,日本,倉儲,商品滯留過久是否有要收費,David,21,3.7,No
2024-03-17,德國,倉儲,商品滯留過久以致倉庫丟失相關,Bob,31,4.1,No
2024-03-17,德國,訂單,商品無法由特定倉庫寄送，須轉往其他倉庫,Frank,1,5.0,No
2024-03-17,日本,訂單,已付款訂單未成立,Emma,12,2.4,No
2024-03-17,中國,訂單,已付款訂單未成立,Emma,28,4.3,No
2024-03-17,德國,訂單,商品未到，確定訂單狀態,Emma,25,3.6,No
2024-03-17,美國,商品,某商品能不能協助代購,Grace,4,4.7,No
2024-03-17,台灣,其他,抱怨相關,Hank,12,3.9,No
2024-03-17,台灣,商品,某商品能不能協助代購,Jack,5,3.4,No
2024-03-17,中國,商品,某商品能不能協助代購,Emma,11,4.4,No
2024-03-17,中國,商品,某商品能否倉儲自取或協助寄往其他地方,Alice,8,3.8,No
2024-03-18,中國,倉儲,商品滯留過久是否有要收費,Hank,27,3.5,No
2024-03-18,台灣,倉儲,訂購商品是否有送到某倉庫,Ivy,16,4.5,No
2024-03-18,美國,倉儲,商品是否重新加工完成,Alice,10,3.6,No
2024-03-18,德國,訂單,商品毀損相關,Bob,23,3.4,No
2024-03-18,德國,倉儲,商品滯留過久以致倉庫丟失相關,Alice,15,3.5,No
2024-03-18,日本,訂單,商品未到，確定訂單狀態,Ivy,9,3.9,No
2024-03-18,台灣,訂單,商品購買加值服務需求,Ivy,29,3.8,No
2024-03-18,中國,訂單,商品毀損相關,Carol,14,3.0,No
2024-03-18,中國,訂單,商品轉其他物流寄送,Ivy,1,4.7,No
2024-03-18,美國,倉儲,商品滯留過久是否有要收費,Grace,28,3.5,No
2024-03-18,德國,訂單,商品無法由特定倉庫寄送，須轉往其他倉庫,Jack,17,3.4,No
2024-03-18,日本,訂單,商品轉其他物流寄送,Carol,27,4.1,No
2024-03-18,德國,商品,某商品能否倉儲自取或協助寄往其他地方,Hank,9,5.0,No
2024-03-19,美國,商品,某商品能不能協助代購,David,5,4.2,Yes
2024-03-19,美國,倉儲,商品滯留過久以致倉庫丟失相關,Ivy,1,4.5,No
2024-03-19,美國,倉儲,商品滯留過久是否有要收費,Alice,21,4.3,No
2024-03-19,美國,商品,某商品能否倉儲自取或協助寄往其他地方,Jack,6,3.4,No
2024-03-19,日本,訂單,商品無法由特定倉庫寄送，須轉往其他倉庫,Jack,14,4.8,No
2024-03-19,日本,訂單,商品未到，確定訂單狀態,Jack,28,3.4,No
2024-03-19,日本,訂單,已付款訂單未成立,Bob,12,2.7,No
2024-03-19,德國,倉儲,商品到台灣是否能放在倉庫及天數相關,Bob,20,4.2,Yes
2024-03-19,台灣,倉儲,訂購商品是否有送到某倉庫,Hank,12,4.4,No
2024-03-19,台灣,訂單,商品毀損相關,Carol,21,3.8,No
2024-03-20,美國,訂單,商品未到，確定訂單狀態,Carol,20,4.0,No
2024-03-20,中國,倉儲,商品是否重新加工完成,Emma,12,2.5,No
2024-03-20,德國,倉儲,商品滯留過久是否有要收費,Grace,20,3.1,No
2024-03-20,美國,商品,某商品運回來是否違法或需要付關費,Alice,11,3.5,No
2024-03-20,德國,訂單,商品無法由特定倉庫寄送，須轉往其他倉庫,Bob,11,4.6,No
2024-03-20,中國,商品,某商品運回來是否違法或需要付關費,Alice,12,4.2,No
2024-03-20,德國,商品,某商品能不能協助代購,David,11,3.6,No
2024-03-21,德國,商品,某商品能不能協助代購,Hank,5,5.0,No
2024-03-21,美國,訂單,商品無法由特定倉庫寄送，須轉往其他倉庫,Frank,16,4.1,No
2024-03-21,台灣,訂單,商品收到與訂單內容不符,Carol,14,4.1,No
2024-03-21,德國,倉儲,商品到台灣是否能放在倉庫及天數相關,Bob,24,4.7,No
2024-03-21,中國,倉儲,商品滯留過久是否有要收費,Hank,18,4.3,No
2024-03-21,中國,商品,某商品運回來是否違法或需要付關費,David,3,4.5,No
2024-03-21,日本,訂單,已付款訂單未成立,Grace,21,3.3,No
2024-03-22,美國,訂單,商品未到，確定訂單狀態,Bob,28,2.6,No
2024-03-22,中國,訂單,商品收到與訂單內容不符,Alice,31,4.2,No
2024-03-22,美國,商品,某商品能不能買/運回台灣,Alice,17,5.0,No
2024-03-22,中國,訂單,商品購買加值服務需求,Hank,22,3.0,No
2024-03-22,美國,商品,某商品能不能協助代購,Alice,10,4.1,No
2024-03-22,美國,訂單,商品購買加值服務需求,Jack,11,3.9,No
2024-03-22,中國,倉儲,商品滯留過久以致倉庫丟失相關,Ivy,16,3.6,Yes
2024-03-22,中國,訂單,已付款訂單未成立,Jack,1,1.4,No
2024-03-23,日本,商品,某商品能不能買/運回台灣,Grace,11,4.0,Yes
2024-03-23,德國,訂單,商品未到，確定訂單狀態,Emma,14,3.0,Yes
2024-03-23,日本,商品,某商品能否倉儲自取或協助寄往其他地方,Carol,2,4.1,No
2024-03-23,德國,其他,公司政策相關,Emma,1,4.6,No
2024-03-23,中國,商品,某商品能不能協助代購,David,9,4.9,No
2024-03-23,日本,商品,某商品能否倉儲自取或協助寄往其他地方,Emma,13,4.1,No
2024-03-23,台灣,商品,某商品能否倉儲自取或協助寄往其他地方,Alice,10,5.0,No
2024-03-23,美國,倉儲,商品是否重新加工完成,David,15,3.4,No
2024-03-23,台灣,訂單,商品轉其他物流寄送,Emma,28,3.9,No
2024-03-23,台灣,訂單,商品無法由特定倉庫寄送，須轉往其他倉庫,Grace,3,4.0,Yes
2024-03-23,中國,商品,某商品能不能買/運回台灣,Ivy,7,5.0,No
2024-03-23,美國,訂單,商品轉其他物流寄送,Alice,18,4.0,No
2024-03-23,日本,商品,某商品能不能買/運回台灣,David,9,4.2,No
2024-03-24,台灣,倉儲,訂購商品是否有送到某倉庫,Emma,20,3.2,Yes
2024-03-24,日本,訂單,商品購買加值服務需求,Grace,3,3.9,Yes
2024-03-24,美國,倉儲,商品滯留過久是否有要收費,Bob,37,4.2,No
2024-03-24,德國,訂單,商品收到與訂單內容不符,Carol,5,3.0,No
2024-03-24,德國,倉儲,商品是否重新加工完成,Carol,14,3.7,Yes
2024-03-24,日本,訂單,已付款訂單未成立,Ivy,12,3.4,Yes
2024-03-24,中國,商品,某商品能不能買/運回台灣,Bob,12,3.7,Yes
2024-03-24,德國,商品,某商品能否倉儲自取或協助寄往其他地方,Alice,15,4.6,No
2024-03-24,台灣,訂單,商品轉其他物流寄送,Grace,12,3.0,No
2024-03-24,德國,商品,某商品能不能協助代購,Alice,5,4.1,No
2024-03-24,美國,訂單,商品收到與訂單內容不符,Emma,16,4.9,No
2024-03-24,美國,訂單,商品轉其他物流寄送,Jack,21,3.3,No
2024-03-24,日本,商品,某商品運回來是否違法或需要付關費,Hank,7,4.1,No
2024-03-24,美國,倉儲,商品是否重新加工完成,Ivy,19,3.2,No
2024-03-24,台灣,訂單,商品轉其他物流寄送,Hank,37,3.6,No
2024-03-24,美國,商品,某商品運回來是否違法或需要付關費,Hank,8,4.1,No
2024-03-24,德國,商品,某商品能不能買/運回台灣,Bob,18,3.8,No
2024-03-25,台灣,商品,某商品能不能協助代購,David,8,4.4,No
2024-03-25,美國,倉儲,商品滯留過久以致倉庫丟失相關,David,34,3.7,No
2024-03-25,日本,訂單,商品未到，確定訂單狀態,Alice,14,2.6,No
2024-03-25,美國,其他,節日活動相關,Grace,3,4.7,No
2024-03-25,美國,商品,某商品能不能買/運回台灣,Hank,14,3.9,No
2024-03-25,美國,訂單,商品收到與訂單內容不符,Alice,10,4.2,No
2024-03-25,德國,倉儲,商品滯留過久以致倉庫丟失相關,Grace,18,4.0,No
2024-03-25,德國,訂單,商品毀損相關,Frank,11,3.3,No
2024-03-25,日本,訂單,商品毀損相關,Emma,38,3.1,No
2024-03-25,台灣,商品,某商品能否倉儲自取或協助寄往其他地方,Carol,6,4.0,No
2024-03-25,台灣,訂單,已付款訂單未成立,Bob,10,2.8,No
2024-03-25,德國,倉儲,商品滯留過久以致倉庫丟失相關,Hank,19,4.3,No
2024-03-25,台灣,訂單,已付款訂單未成立,Grace,21,3.3,No
2024-03-25,日本,商品,某商品能否倉儲自取或協助寄往其他地方,Emma,7,3.6,No
2024-03-25,日本,其他,抱怨相關,Jack,12,4.4,No
2024-03-25,德國,其他,節日活動相關,Ivy,7,3.6,No
2024-03-26,中國,訂單,商品無法由特定倉庫寄送，須轉往其他倉庫,Bob,28,3.6,No
2024-03-26,美國,訂單,商品未到，確定訂單狀態,Hank,8,4.0,No
2024-03-26,日本,倉儲,商品到台灣是否能放在倉庫及天數相關,Hank,23,3.5,No
2024-03-26,德國,倉儲,商品到台灣是否能放在倉庫及天數相關,David,37,3.8,No
2024-03-26,台灣,倉儲,訂購商品是否有送到某倉庫,Grace,15,3.7,No
2024-03-26,日本,商品,某商品運回來是否違法或需要付關費,Hank,3,3.8,No
2024-03-26,德國,訂單,商品未到，確定訂單狀態,Ivy,22,3.2,No
2024-03-26,中國,倉儲,商品滯留過久是否有要收費,Emma,24,4.2,No
2024-03-26,台灣,訂單,已付款訂單未成立,Carol,12,3.4,No
2024-03-26,日本,其他,抱怨相關,Grace,6,4.4,Yes
2024-03-26,日本,商品,某商品能不能買/運回台灣,Frank,16,5.0,No
2024-03-26,中國,商品,某商品能否倉儲自取或協助寄往其他地方,Hank,9,4.1,No
2024-03-26,日本,倉儲,商品滯留過久以致倉庫丟失相關,Bob,4,2.7,Yes
2024-03-26,德國,商品,某商品能不能買/運回台灣,Frank,13,4.4,No
2024-03-26,德國,訂單,商品收到與訂單內容不符,Carol,19,5.0,No
2024-03-27,美國,倉儲,商品滯留過久以致倉庫丟失相關,Alice,34,3.7,No
2024-03-27,台灣,訂單,商品無法由特定倉庫寄送，須轉往其他倉庫,Hank,7,4.4,No
2024-03-27,德國,訂單,商品購買加值服務需求,Jack,25,4.3,No
2024-03-27,台灣,訂單,商品無法由特定倉庫寄送，須轉往其他倉庫,Hank,20,4.7,No
2024-03-27,台灣,商品,某商品運回來是否違法或需要付關費,Emma,14,3.6,No
2024-03-27,美國,倉儲,商品滯留過久是否有要收費,Grace,17,3.3,No
2024-03-27,德國,訂單,商品轉其他物流寄送,Ivy,29,2.2,Yes
2024-03-27,中國,訂單,商品未到，確定訂單狀態,Grace,23,3.7,No
2024-03-27,台灣,訂單,商品未到，確定訂單狀態,Jack,23,3.8,No
2024-03-27,德國,其他,惡劣天氣相關,David,10,4.1,No
2024-03-27,日本,訂單,商品無法由特定倉庫寄送，須轉往其他倉庫,Alice,24,2.5,No
2024-03-27,美國,商品,某商品能否倉儲自取或協助寄往其他地方,Alice,9,4.2,No
2024-03-27,中國,訂單,商品收到與訂單內容不符,Hank,22,3.6,No
2024-03-28,日本,倉儲,商品滯留過久以致倉庫丟失相關,Bob,24,3.9,No
2024-03-28,台灣,商品,某商品能不能買/運回台灣,Carol,8,5.0,No
2024-03-28,台灣,訂單,商品未到，確定訂單狀態,Alice,12,3.6,No
2024-03-28,德國,商品,某商品能不能協助代購,Hank,19,3.4,No
2024-03-28,德國,訂單,商品毀損相關,David,25,3.4,No
2024-03-28,德國,訂單,商品未到，確定訂單狀態,Grace,31,4.1,No
2024-03-28,台灣,倉儲,商品到台灣是否能放在倉庫及天數相關,Hank,14,3.7,No
2024-03-28,美國,訂單,已付款訂單未成立,Ivy,20,2.6,No
2024-03-28,中國,訂單,商品購買加值服務需求,Ivy,25,3.4,No
2024-03-28,台灣,商品,某商品能不能買/運回台灣,David,15,4.0,No
2024-03-28,德國,訂單,商品轉其他物流寄送,Carol,1,3.4,Yes
2024-03-28,日本,訂單,商品無法由特定倉庫寄送，須轉往其他倉庫,Alice,1,4.8,Yes
2024-03-29,日本,倉儲,商品滯留過久以致倉庫丟失相關,Jack,17,3.5,No
2024-03-29,中國,商品,某商品能不能協助代購,Hank,23,4.4,Yes
2024-03-29,台灣,訂單,商品未到，確定訂單狀態,Ivy,14,4.2,No
2024-03-29,台灣,倉儲,訂購商品是否有送到某倉庫,Jack,26,3.4,Yes
2024-03-29,日本,倉儲,商品是否重新加工完成,Frank,14,3.5,No
2024-03-29,德國,訂單,商品收到與訂單內容不符,Jack,14,2.7,No
2024-03-29,美國,倉儲,訂購商品是否有送到某倉庫,Ivy,17,3.9,No
2024-03-29,中國,倉儲,商品滯留過久是否有要收費,Emma,12,3.3,No
2024-03-30,日本,訂單,商品未到，確定訂單狀態,Carol,26,2.3,No
2024-03-30,日本,訂單,商品毀損相關,Grace,15,4.1,No
2024-03-30,台灣,訂單,商品無法由特定倉庫寄送，須轉往其他倉庫,Grace,25,2.7,No
2024-03-30,美國,倉儲,商品滯留過久是否有要收費,Emma,18,3.2,No
2024-03-30,美國,訂單,商品收到與訂單內容不符,David,22,3.8,No
